zipcode,zipcode_type,major_city,post_office_city,common_city_list,county,state,lat,lng,timezone,radius_in_miles,area_code_list,population,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income,bounds_west,bounds_east,bounds_north,bounds_south,area_code_list1,area_code_list2,common_city_list1,area_code_list3,area_code_list4,area_code_list5,common_city_list2,common_city_list3,area_code_list6,area_code_list7,area_code_list8,common_city_list4
02199,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.347,-71.083,Eastern,0.22727272727272727,339,1146.0,19927.0,0.06,0.0,927.0,763.0,1000001.0,109716.0,-71.085602,-71.07876,42.349508,42.345386,857,978,,508,617,781,,,,,,
19125,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.98,-75.12,Eastern,1.0,215,22958.0,16683.0,1.38,0.19,10557.0,9320.0,158600.0,41186.0,-75.135513,-75.112815,39.991945,39.96196,267,,Phila,,,,,,,,,
02163,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.369,-71.125,Eastern,0.625,339,2582.0,26048.0,0.1,0.01,712.0,650.0,,43989.0,-71.125573,-71.117193,42.36898,42.363743,781,978,Cambridge,508,617,857,,,,,,
60633,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.67,-87.56,Central,4.0,773,12927.0,1259.0,10.27,1.94,5182.0,4746.0,136800.0,44417.0,-87.601954,-87.524616,41.707792,41.629925,,,Burnham,,,,,,,,,
19140,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,40.01,-75.15,Eastern,2.0,215,54133.0,17736.0,3.05,0.01,22209.0,18784.0,61400.0,22654.0,-75.170357,-75.112723,40.028903,39.998459,,,Phila,,,,,,,,,
02215,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.34,-71.1,Eastern,0.9090909090909091,617,26125.0,34190.0,0.76,0.11,9324.0,8788.0,366700.0,35659.0,-71.125201,-71.087588,42.354615,42.335505,857,,,,,,,,,,,
30354,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.66,-84.4,Eastern,3.0,770,14857.0,1382.0,10.75,0.02,6855.0,5513.0,95500.0,28230.0,-84.445768,-84.349414,33.68826,33.631019,404,678,Hapeville,,,,,,,,,
19135,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,40.02,-75.04,Eastern,2.0,215,33091.0,14211.0,2.33,0.33,13264.0,12263.0,117200.0,35859.0,-75.074944,-75.024244,40.036859,40.00546,,,Phila,,,,,,,,,
60639,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.92,-87.76,Central,2.0,773,90407.0,18537.0,4.88,0.0,28183.0,25197.0,206800.0,38707.0,-87.790531,-87.724876,41.93707,41.907732,,,,,,,,,,,,
02136,Standard,Hyde Park,"Hyde Park, MA",Hyde Park,Suffolk County,MA,42.25,-71.13,Eastern,2.0,617,28488.0,6207.0,4.59,0.11,11092.0,10411.0,313400.0,58890.0,-71.150386,-71.106903,42.280502,42.22788,857,,Boston,,,,Readville,,,,,
30334,Standard,Atlanta,"Atlanta, GA",Atlanta,Fulton County,GA,33.749,-84.387,Eastern,0.17045454545454544,404,1.0,20.0,0.05,0.0,0.0,0.0,,,-84.390906,-84.383746,33.75124,33.7469,678,770,,470,,,,,,,,
19151,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.98,-75.26,Eastern,2.0,215,29883.0,12494.0,2.39,0.02,13090.0,11798.0,123600.0,40358.0,-75.280266,-75.23724,39.99018,39.962705,,,Overbrook Hills,,,,Overbrook Hls,Phila,,,,
19148,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,39.93,-75.15,Eastern,3.0,215,49732.0,11777.0,4.22,0.61,21567.0,19624.0,165100.0,39413.0,-75.174959,-75.128253,39.93048,39.893009,267,,Phila,,,,,,,,,
02118,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.34,-71.07,Eastern,1.0,857,26498.0,24075.0,1.1,0.01,12967.0,12314.0,561100.0,54152.0,-71.088245,-71.05904,42.347513,42.326256,617,,Roxbury,,,,,,,,,
