0,30318
1,02130
2,60641
3,60637
4,30306
5,02142
6,60601
7,60644
8,30126
9,19134
10,60652
11,60638
12,02110
13,02129
14,60636
15,19109
16,60171
17,30307
18,30303
19,19103
20,02126
21,60649
22,02143
23,60608
24,02203
25,60630
26,02135
27,19121
28,60623
29,02115
30,02134
31,30349
32,60634
33,30316
34,60609
35,60654
36,30312
37,60617
38,60805
39,19112
40,60615
41,19143
42,60706
43,60661
44,60304
45,60653
46,19139
47,19137
48,60604
49,60625
50,30305
51,60632
52,60651
53,60603
54,02111
55,19147
56,60613
57,02109
58,19131
59,60624
60,19130
61,60620
62,30324
63,02127
64,30030
65,02125
66,60611
67,30344
68,02210
69,60827
70,19106
71,30311
72,60643
73,19129
74,02467
75,02150
76,19146
77,60602
78,19107
79,60605
80,30308
81,19120
82,02113
83,19123
84,30315
85,60606
86,02122
87,30314
88,30332
89,02446
90,02120
91,60657
92,60655
93,30331
94,30313
95,60610
96,30310
97,60406
98,19111
99,30363
100,19104
101,19145
102,30317
103,02199
104,19125
105,02163
106,60633
107,19140
108,02215
109,30354
110,19135
111,60639
112,02136
113,30334
114,19151
115,19148
116,02118
117,60628
118,02108
119,46320
120,02141
121,02138
122,60707
123,60629
124,60607
125,60619
126,02132
127,02121
128,19149
129,60616
130,60614
131,19124
132,19132
133,02119
134,60622
135,60647
136,30309
137,19122
138,02124
139,19102
140,60621
141,02131
142,02128
143,60804
144,02445
145,19142
146,02116
147,60642
148,60640
149,60456
150,19133
151,60302
152,60612
153,60618
154,02139
155,02114
